Postcode_District,Year,Measure,Value
WC1E,1997,Median,116780
WC1H,1997,Median,80608
WC1N,1997,Median,154292
WC1R,1997,Median,125260
WC1X,1997,Median,109870
WC2B,1997,Median,142492
WC2E,1997,Median,216611
WC2H,1997,Median,185168
WC2N,1997,Median,235192
WC2R,1997,Median,454973
BR1,1998,Median,96465
BR2,1998,Median,107090
BR3,1998,Median,99537
BR4,1998,Median,120686
BR5,1998,Median,96623
BR6,1998,Median,128435
BR7,1998,Median,141653
CR0,1998,Median,76338
CR2,1998,Median,98165
CR3,1998,Median,106860
CR4,1998,Median,70717
CR5,1998,Median,130132
CR7,1998,Median,72270
CR8,1998,Median,120529
DA1,1998,Median,63684
DA14,1998,Median,85393
DA15,1998,Median,91806
DA16,1998,Median,86154
DA17,1998,Median,58946
DA18,1998,Median,40819
DA5,1998,Median,107565
DA6,1998,Median,93827
DA7,1998,Median,87150
DA8,1998,Median,62529
E1,1998,Median,106521
E10,1998,Median,62124
E11,1998,Median,77234
E12,1998,Median,64588
E13,1998,Median,55325
E14,1998,Median,116753
E15,1998,Median,58268
E16,1998,Median,71948
E17,1998,Median,66974
E18,1998,Median,90538
E1W,1998,Median,174401
E2,1998,Median,80969
E3,1998,Median,85842
E4,1998,Median,91698
E5,1998,Median,79182
E6,1998,Median,60027
E7,1998,Median,63469
E8,1998,Median,84353
E9,1998,Median,78568
EC1A,1998,Median,165079
EC1M,1998,Median,181841
EC1N,1998,Median,213885
EC1R,1998,Median,197364
EC1V,1998,Median,176174
EC1Y,1998,Median,200484
EC2A,1998,Median,135136
EC2Y,1998,Median,157025
EC3N,1998,Median,261480
EC3R,1998,Median,750000
EC4A,1998,Median,207487
EC4M,1998,Median,243704
EC4V,1998,Median,237148
EC4Y,1998,Median,248449
EN1,1998,Median,84085
EN2,1998,Median,105423
EN3,1998,Median,70667
EN4,1998,Median,113297
EN5,1998,Median,108243
EN8,1998,Median,78341
HA0,1998,Median,83023
HA1,1998,Median,97348
HA2,1998,Median,95936
HA3,1998,Median,97734
HA4,1998,Median,110007
HA5,1998,Median,135285
HA6,1998,Median,156284
HA7,1998,Median,138351
HA8,1998,Median,101153
HA9,1998,Median,92619
IG1,1998,Median,71702
IG11,1998,Median,62874
IG2,1998,Median,84757
IG3,1998,Median,75506
IG4,1998,Median,104140
IG5,1998,Median,102955
IG6,1998,Median,84247
IG7,1998,Median,111836
IG8,1998,Median,112508
IG9,1998,Median,120642
KT1,1998,Median,113930
KT2,1998,Median,144276
KT3,1998,Median,121874
KT4,1998,Median,104955
KT5,1998,Median,107717
KT6,1998,Median,108260
KT8,1998,Median,128182
KT9,1998,Median,93474
N1,1998,Median,144269
N10,1998,Median,135389
N11,1998,Median,100157
N12,1998,Median,108317
N13,1998,Median,91654
N14,1998,Median,121136
N15,1998,Median,70514
N16,1998,Median,95368
N17,1998,Median,64913
N18,1998,Median,66863
N19,1998,Median,120812
N1C,1998,Median,N/A
N2,1998,Median,145284
N20,1998,Median,137273
N21,1998,Median,132365
N22,1998,Median,91483
N3,1998,Median,124126
N4,1998,Median,102232
N5,1998,Median,147612
N6,1998,Median,178991
N7,1998,Median,111993
N8,1998,Median,115962
N9,1998,Median,66662
NW1,1998,Median,173766
NW10,1998,Median,89037
NW11,1998,Median,178148
NW2,1998,Median,111436
NW3,1998,Median,211932
NW4,1998,Median,118857
NW5,1998,Median,144174
NW6,1998,Median,143728
NW7,1998,Median,136181
NW8,1998,Median,194096
NW9,1998,Median,84470
RM1,1998,Median,82731
RM10,1998,Median,55562
RM11,1998,Median,107384
RM12,1998,Median,81889
RM13,1998,Median,70735
RM14,1998,Median,119725
RM2,1998,Median,109816
RM3,1998,Median,69329
RM4,1998,Median,130873
RM5,1998,Median,81052
RM6,1998,Median,69990
RM7,1998,Median,74551
RM8,1998,Median,58024
RM9,1998,Median,54241
SE1,1998,Median,139122
SE10,1998,Median,123473
SE11,1998,Median,126507
SE12,1998,Median,80720
SE13,1998,Median,74750
SE14,1998,Median,63601
SE15,1998,Median,77814
SE16,1998,Median,112866
SE17,1998,Median,78939
SE18,1998,Median,61795
SE19,1998,Median,65423
SE2,1998,Median,61629
SE20,1998,Median,59088
SE21,1998,Median,126588
SE22,1998,Median,91580
SE23,1998,Median,74141
SE24,1998,Median,110774
SE25,1998,Median,63212
SE26,1998,Median,74850
SE27,1998,Median,78525
SE28,1998,Median,57857
SE3,1998,Median,117567
SE4,1998,Median,73552
SE5,1998,Median,86888
SE6,1998,Median,71004
SE7,1998,Median,74280
SE8,1998,Median,56609
SE9,1998,Median,87441
SM1,1998,Median,83396
SM2,1998,Median,89510
SM3,1998,Median,101969
SM4,1998,Median,90786
SM5,1998,Median,92553
SM6,1998,Median,84966
SM7,1998,Median,136668
SW10,1998,Median,236529
SW11,1998,Median,147461
SW12,1998,Median,135964
SW13,1998,Median,256736
SW14,1998,Median,193436
SW15,1998,Median,140053
SW16,1998,Median,85394
SW17,1998,Median,103533
SW18,1998,Median,128758
SW19,1998,Median,131283
SW1A,1998,Median,1021676
SW1E,1998,Median,252414
SW1H,1998,Median,374787
SW1P,1998,Median,195191
SW1V,1998,Median,170310
SW1W,1998,Median,358144
SW1X,1998,Median,418756
SW1Y,1998,Median,156922
SW2,1998,Median,95642
SW20,1998,Median,126819
SW3,1998,Median,279610
SW4,1998,Median,145510
SW5,1998,Median,211549
SW6,1998,Median,201188
SW7,1998,Median,320499
SW8,1998,Median,115270
SW9,1998,Median,104648
TN14,1998,Median,142022
TN16,1998,Median,115459
TW1,1998,Median,168989
TW10,1998,Median,195418
TW11,1998,Median,151217
TW12,1998,Median,134562
TW13,1998,Median,72659
TW14,1998,Median,70662
TW2,1998,Median,129346
TW3,1998,Median,88479
TW4,1998,Median,79638
TW5,1998,Median,87311
TW7,1998,Median,107375
TW8,1998,Median,113708
TW9,1998,Median,184098
UB1,1998,Median,70493
UB10,1998,Median,107176
UB2,1998,Median,75191
UB3,1998,Median,71386
UB4,1998,Median,75714
UB5,1998,Median,67705
UB6,1998,Median,87738
UB7,1998,Median,70983
UB8,1998,Median,80425
UB9,1998,Median,124565
W10,1998,Median,134220
W11,1998,Median,225697
W12,1998,Median,124289
W13,1998,Median,136056
W14,1998,Median,155848
W1B,1998,Median,147707
W1D,1998,Median,306471
W1F,1998,Median,215034
W1G,1998,Median,225919
W1H,1998,Median,224756
W1J,1998,Median,322079
W1K,1998,Median,442956
W1S,1998,Median,616751
W1T,1998,Median,185433
W1U,1998,Median,234835
W1W,1998,Median,118153
W2,1998,Median,173433
W3,1998,Median,116566
W4,1998,Median,173777
W5,1998,Median,140857
W6,1998,Median,156759
W7,1998,Median,102440
W8,1998,Median,346828
W9,1998,Median,155182
WC1A,1998,Median,203809
WC1B,1998,Median,245026
WC1E,1998,Median,111291
WC1H,1998,Median,88213
WC1N,1998,Median,159563
WC1R,1998,Median,139611
WC1X,1998,Median,141828
WC2B,1998,Median,225757
WC2E,1998,Median,237745
WC2H,1998,Median,157007
WC2N,1998,Median,308235
WC2R,1998,Median,607970
BR1,1999,Median,109542
BR2,1999,Median,129118
BR3,1999,Median,119288
BR4,1999,Median,141972
BR5,1999,Median,101914
BR6,1999,Median,145181
BR7,1999,Median,168669
CR0,1999,Median,86867
CR2,1999,Median,111437
CR3,1999,Median,120877
CR4,1999,Median,81750
CR5,1999,Median,139796
CR7,1999,Median,82185
CR8,1999,Median,132415
DA1,1999,Median,67851
DA14,1999,Median,92332
DA15,1999,Median,102063
DA16,1999,Median,92345
DA17,1999,Median,63629
DA18,1999,Median,49968
DA5,1999,Median,119389
DA6,1999,Median,101191
DA7,1999,Median,99233
DA8,1999,Median,68433
E1,1999,Median,126915
